"ID","Status before audit","Status after audit","Evidence","Missing requirement","Recommended next action","Work type","Claude can implement without business input","Business-owner input required","Security/data approval required"
"DISC-DB-001","blocked","discovered","SQL Server 2008 R2 (148 DBs) and SQL Server 2022 Express (32 DBs) both running; PostgreSQL 18 running; no MySQL service, client, server or data directory","Object-by-object dialect classification","Close the engine question; retarget the backlog to SQL Server to PostgreSQL only","data discovery","yes","no","no"
"DISC-SYS-001","blocked","discovered","smart_system live on both instances: 25 tables, 25 primary keys, 26 procedures, 2 functions; COMPANY 176, CNAME 175, YEAR_AC 16, DASHBOARD_DETAIL 19","Semantic mapping of routing and dashboard behaviour; note that SECURITY and LOGIN are empty here","Map company/year routing; move rights modelling to smart_setup","data discovery","yes","no","no"
"DISC-PG-001","blocked","discovered","SRC-PG-001 to SRC-PG-008 located and hashed on the legacy workstation: 328 routines checked, 255 pass, 73 need review","Registration, dependency resolution and contract tests","Register the artefacts; reconcile the 346/328/283 routine deltas","data discovery","yes","no","yes"
"DISC-PROC-001","discovered","classified","346 live routines in smart_setup (335 procedures, 10 scalar functions, 1 TVF); 328 converted; 283 in the archive","Per-routine classification with source dialect, dependencies and owner","Work the 73-routine review queue; identify the 18 unconverted routines","code","partly","no","yes"
"DISC-MENU-001","blocked","discovered","Live MenuMaster: 592 rows, identical on both instances","Sanitized export plus rights and shortcut rules","Export a sanitized menu graph and reconcile against the 400-item historical snapshot","data discovery","yes","no","no"
"DISC-META-001","blocked","discovered","PROGRAM_TOP 49, PROGRAM_BODY 1308, ENTRY_CONTROL 704, ENTRY_GRID_BODY 1748, QUERY_TABLE 216, DATABASE_KEYS 45, REPORT_OUTPUTCOL 1333","Dependency graph and object registry","Build the sanitized metadata dependency graph","data discovery","yes","no","no"
"DISC-PRINT-001","blocked","discovered","DOCUMENT_PRINT located: 5 rows in smart_setup, 8 in smart_system; DOCUMENT_TOP/BODY/BOTTOM staging tables empty; 322 Crystal .rpt in legacy HEAD","Canonical golden print samples; template classification","Classify the 322 templates by active use before estimating reporting","data discovery","no","yes","yes"
"DISC-CUST-001","discovered","discovered","91 license IDs previously counted; client-override registry present in the intake pack","Effective per-client query and report variants","Obtain effective client query sets (SRC-CUST-001 still missing)","business decision","no","yes","yes"
"DISC-LEGACY-001","blocked","blocked","Legacy solution builds and was rebuilt 2026-08-24; .NET Framework 4.8.09037 installed","Disposable environment plus approved representative data","Stand up an isolated parity environment","operations","no","yes","yes"
"DISC-DATA-001","blocked","blocked","No approved dataset exists","Data-governance approval","Approve synthetic and sanitized fixture policy","business decision","no","yes","yes"
"DB-INTEGRITY-001","discovered","discovered — evidence now available","Company-year source has 72 primary keys, 164 unique indexes, 25 nonclustered indexes, 82 identity columns; the PostgreSQL archive has none of these and is missing 3 tables","Extraction of the source key catalogue; profiling for the 45 logical relationships","Extract SQL Server keys and indexes into database/contracts/ instead of inferring candidate keys","code","yes","no","no"
"DB-MAP-001","discovered","discovered","SQL Server money, datetime, nvarchar and identity semantics observed directly; archive uses PostgreSQL money under English_India.1252","Approved canonical target semantics","Draft the type map; money to numeric, not PostgreSQL money","code","partly","yes","no"
"DB-PROC-001","discovered","discovered","255 validated and 73 review-queue routines with named failure classes","Rewrite, contract tests, or retirement evidence per routine","Start with the 19 static candidates identified in the intake","code","partly","no","yes"
"MST-ADDON-001","discovered","classified","Legacy contract measured: PROGRAM_TOP_KEY 2 has 37 PROGRAM_BODY rows; ADDON_SUB has 40 columns and a clustered primary key; ADDON_FLD has 118 definitions; web models 27 fields, all typed string","SUB_RELATE is NOT NULL and unmodelled, so no valid insert is possible; no persistence, permissions, scope, transaction, audit or parity","Deliver SLICE-2026-08-24-A","code","yes","yes for retiring ADDRESS REQ, closing bal. and pk.sub_balance","no"
"MST-ACCOUNT-001","discovered","discovered","PROGRAM_TOP_KEY 14 verified to carry exactly 87 PROGRAM_BODY rows","Add-on projection contract and client field sets","Follow the Addon slice; reuse the same repository and context pattern","code","partly","yes","no"
"PLAT-CTX-001","discovered","discovered — implementation exists unmerged","platform/context/tenant-context.ts on codex/source-engine-confirmation; unit-tested; not imported by app or features","Merge to main and wire to a real request path","Merge the branch by pull request, then wire","code","yes","no","no"
"PLAT-RBAC-001","discovered","discovered — implementation exists unmerged","platform/rbac/permission-guard.ts; deny-by-default; unit-tested; not wired","Merge and enforce in UI, API, job and database","Merge, then enforce on the Addon routes","code","yes","no","no"
"PLAT-AUDIT-001","discovered","discovered — implementation exists unmerged","platform/audit/audit-event.ts; unit-tested; not wired","Append-only store and transactional outbox","Merge, then emit events on the Addon write path","code","yes","no","no"
"PLAT-JOB-001","discovered","discovered — implementation exists unmerged","platform/jobs/job-state.ts; unit-tested; not wired","Durable worker and queue runtime","Merge; defer the runtime beyond the current slice","code","yes","no","no"
"PLAT-AUTH-001","discovered","discovered","Rights store is smart_setup.SECURITY (465 rows) and smart_setup.USER_MASTER (8 rows), not smart_system","Legacy password storage format is unknown","Ask the business owner how passwords are stored before designing migration","security approval","no","yes","yes"
"PLAT-DB-001","discovered","discovered","No database driver appears in package.json; database/ holds only README.md","PostgreSQL pool, TLS, roles, timeouts and context cleanup","Implement as part of SLICE-2026-08-24-A","code","yes","no","no"
"PLAT-RLS-001","discovered","discovered","No database layer exists","Forced RLS and tenant-aware composite keys","Implement on the two new Addon tables","code","yes","no","no"
"CI-001","designed","designed","ci.yml runs npm ci, lint, typecheck, npm test and docker compose config on Node 24","No CI run was observed during this audit; no Node.js or Docker runtime on the audited workstation","Link a green run before advancing the status","testing","yes","no","no"
"SEC-BASE-001","designed","designed","SECURITY.md, .gitignore and scripts/repository-safety-check.mjs on the unmerged branch","Safety check is not on main and not in CI","Merge the branch and add security:check to CI","code","yes","no","no"
"UTIL-BACKUP-001","discovered","discovered","Most recent full backup in the active instance history is 2026-07-24; SQL Server Agent stopped and disabled","Confirmation of whether an external backup tool is in use","Raise as a current production risk, separate from migration","operations","no","yes","no"
"OPS-DR-001","discovered","discovered","Same as UTIL-BACKUP-001","RPO/RTO targets","Confirm backup coverage before cutover planning","operations","no","yes","no"
