"Capability ID","Legacy menu/form/report","Legacy source file / class","Legacy database objects","Client-specific branches","Permissions","Print/report dependency","Web route/component","Web API","Web database object","Web tests","Migration status","Remaining gap","Backlog ID","Recommended wave","Acceptance evidence required"
"CAP-AUTH-001","User Login Screen","Prj_Forms login form; Lib_GlobalVariables.PublicVariable","SMART_SETUP.USER_MASTER (8 rows); SMART_SETUP.SECURITY (465 rows)","License-gated login behaviour","Implicit: any authenticated user","None","features/startup/StartupGate.tsx (login stage)","none","none","tests/rendered-html.test.mjs (shell render only)","prototype","No password verification, session, cookie, lockout, reset, revocation or audit; rights store is SMART_SETUP not SMART_SYSTEM","PLAT-AUTH-001","3","Invalid/valid/lockout/reset/revocation/audit and direct-API bypass denial"
"CAP-CTX-001","Company Selection Menu","Company/year selection form; SetDataDatabase","SMART_SYSTEM.COMPANY (176); CNAME (175); YEAR_AC (16)","Company-name and database-name conditions in C#","Company/year rights per user","None","features/startup/StartupGate.tsx (company stage)","none","none","none","prototype","Selection is client state; never propagated; app/page.tsx:68 shows a hard-coded company regardless of choice","PLAT-CTX-001","3","Only authorized selections produce an immutable server-derived context"
"CAP-CTXRES-001","Company-year database routing","DbConnectionManager.InitialiseFromIni; SetDataDatabase","Separate physical databases named <CLIENT>_<YY> (+_BIGLOG, +_IMAGE)","Per-client database naming","n/a","None","none","none","none","platform/context/tenant-context.ts (unmerged branch)","unit-tested","Not merged to main; not wired to any route or database; no PostgreSQL pool exists","PLAT-DB-001","3","Pool reuse never leaks context; cross-tenant tests fail closed"
"CAP-RBAC-001","Menu/book/company/year/action rights","Rights loading into global state","SMART_SETUP.SECURITY (465 rows)","91 Smartwinfa_License numeric IDs","The permission model itself","None","none","none","none","platform/rbac/permission-guard.ts (unmerged branch)","unit-tested","Deny-by-default guard exists as a pure function only; no UI, API, job or DB enforcement","PLAT-RBAC-001","3","Positive and negative UI/API/job/DB evidence per permission"
"CAP-NAV-001","Dynamic menu","Main_Menu_New.cs (~7.1k lines)","SMART_SETUP.MenuMaster (592 rows); 45 dynamic action codes","License/rights/hidden-book rules; module passwords","Menu rights","None","app/page.tsx menus constant (9 groups, 49 labels)","none","none","tests/rendered-html.test.mjs asserts the 9 group labels","prototype","Menu is a hard-coded constant; 592 live rows are unread; no rights filtering, shortcuts, or hidden-module rules","DISC-MENU-001; QA-E2E-001","6","Snapshot parity per role and tenant; keyboard/mobile; direct-route denial"
"CAP-MSTADDON-001","MASTER : ADDON SUB","Master_ProgramGrid.cs (~13.0k lines)","SMART_SETUP.PROGRAM_TOP key 2; PROGRAM_BODY 37 rows; company ADDON_SUB (40 cols, PK_addon_sub, 1,618 rows); ADDON_FLD (118)","Addon groups are data (ADDON_SUB.PARA_ID), not constants","Master add/update/delete rights","Document print via DOCUMENT_PRINT","features/addon-master/AddonMaster.tsx","none","none","tests/rendered-html.test.mjs asserts section titles and button labels","prototype","27 of 37 field definitions modelled; SUB_RELATE is NOT NULL and unmodelled so no valid insert is possible; all fields typed string vs money/datetime/int; STATE stored as name not STATE_ID; no persistence, permissions, scope, transaction, audit or parity","MST-ADDON-001","5","Full master definition of done plus legacy parity on field order, types, duplicates and scope"
"CAP-MSTACCOUNT-001","MASTER : ACCOUNT","Master_ProgramGrid.cs","SMART_SETUP.PROGRAM_TOP key 14; PROGRAM_BODY 87 rows (verified live); company addon_fld projection","Client add-on field sets per company/year","Master rights","Document print","none","none","none","none","missing","No route, component, API or schema; 87-field contract verified but unimplemented","MST-ACCOUNT-001","5","Field/order/query/write/permission/parity contract for representative clients"
"CAP-ENTRY-001","TRANSACTION entries","Entry.cs (~41.6k lines); Small_Entry.cs (~18.5k)","ENTRY_CONTROL (704); ENTRY_GRID_BODY (1,748); ENTRY_SAVE_PROPERTIES (1,045); ENTRY_PROPERTIES (114); company aentry/aientry/ledger/process","Extensive per-license branching","Entry rights and action passwords","Invoice/voucher templates","app/page.tsx menu labels only","none","none","none","missing","Selecting a menu item only changes shell state","ENT-REP-001; ENT-INVOICE-001","5,7","Balanced posting, rollback, idempotency, tax/addon and parity"
"CAP-RPT-001","REPORT / ANALYSIS REP.","Report_Combine.cs (~28.3k lines)","REPORT_PROPERTIES (299); REPORT_CONTROL (790); REPORT_CONTROLVAL (958); REPORT_OUTPUTCOL (1,333); REPORT_CHECKBOX (635); FIX_COLUMNS (780); 202 sp_frt_rpt_* routines","Client report folders and templates","Report rights","322 Crystal .rpt templates (licensed)","app/page.tsx menu labels only","none","none","none","missing","No report runtime; routine conversion has 73 routines failing static checks","RPT-REP-001; DB-PROC-001","5,8","Typed result/totals/order/filter/export/performance and golden parity"
"CAP-PRN-001","Document printing","Print/staging code paths","SMART_SETUP.DOCUMENT_PRINT (5); SMART_SYSTEM.DOCUMENT_PRINT (8); DOCUMENT_TOP/BODY/BOTTOM (0 rows, shared staging)","Client templates and folders","Print rights","Crystal Reports runtime; sp_bill_print_pg.sql (SRC-PG-005)","window.print() in AddonMaster.tsx:412 and :431","none","none","none","prototype","Browser print dialog only; no template mapping, job model, artefact, retention or delivery","PRN-REP-001","5","Concurrent idempotent jobs; golden artefact, delivery and retention"
