routine_id,name,engine,parameters,read_tables,write_tables,caller_menu_form,side_effects,client_specific_behavior,dependencies,source_location,migration_status,owner
R001,SP_ENTRY_READ_FIRSTCOMBO,SQL Server,PROGRAMNAME,unknown,unknown,Entry and utility first-combo flows,unknown,possible setup configuration,smart_setup metadata,Data Logic Layer/Dll_Security.cs; Dll_Utility*.cs,Database definition required,Migration database owner
R002,SP_ENTRY_SAVE,SQL Server,table-valued entry payload inferred; exact contract unknown,unknown,unknown,Entry and Excel import,posting and stock effects unknown,license and entry style may vary,smart_setup plus company database,Data Logic Layer/Dll_Entry.cs; Dll_UtilityImportDataExcel.cs,Database definition required,Accounting domain owner
R003,SP_GETUSER,SQL Server,unknown,unknown,unknown,Login/security,authentication and rights effects unknown,company/user rights,smart_system,Data Logic Layer/Dll_Users.cs,Database definition required,Security owner
R004,SP_IMPORT_DATA,SQL Server,import object parameters,unknown,unknown,Utility import,unknown,client/import format dependent,smart_setup and company database,Data Logic Layer/Dll_UtilityImportData.cs,Database definition required,Import owner
R005,SP_REPOST_DATA,SQL Server,database name; account/outclear/product flags; verify flag; license; year; dates; output key,unknown,unknown,Utility repost,posting/recalculation effects,license and year dependent,smart_setup and company database,Data Logic Layer/Dll_UtilityReport.cs,Database definition required,Accounting domain owner
R006,SP_REPORT_FORMATING,SQL Server,report key; formatting; date/range; dynamic select/from/where/group/order; filters; addons; slabs; company/year/user context,metadata tables,temporary/report output unknown,Report_Combine,report generation and possible temporary tables,license/client metadata dependent,smart_setup and company database,Data Logic Layer/Dll_ReportOutput.cs,Database definition required,Reporting owner
R007,SP_REPORT_FORMATING_NEW,SQL Server,same broad report contract as formatting,metadata tables,temporary/report output unknown,Report_Combine,report generation,report key >=151 path,smart_setup and company database,Data Logic Layer/Dll_ReportOutput.cs,Database definition required,Reporting owner
R008,SP_STD_REPORT,SQL Server,report output contract; exact parameters require source,metadata and company tables,unknown,Report_Combine,report generation,report/client dependent,smart_setup and company database,Data Logic Layer/Dll_ReportOutput.cs; Report_Combine.cs,Database definition required,Reporting owner
R009,SP_DROP_TABLES,SQL Server,report context; exact parameters require source,unknown,temporary/report tables,Report_Combine,cleanup of generated objects,report dependent,company database,Data Logic Layer/Dll_ReportOutput.cs; Report_Combine.cs,Database definition required,Reporting owner
R010,SP_FILL_CONTROL,SQL Server,report/control context,report metadata,unknown,Report_Combine controls,unknown,report metadata dependent,smart_setup,Data Logic Layer/Dll_ReportOutput.cs; Report_Combine.cs,Database definition required,Reporting owner
R011,SP_GET_HELP,SQL Server,report/help context,help metadata,unknown,Report_Combine help,none known,report metadata dependent,smart_setup,Data Logic Layer/Dll_ReportOutput.cs; Report_Combine.cs,Database definition required,Reporting owner
R012,SP_TRANSFER_DATA,SQL Server,database/year transfer object; exact parameters in source,unknown,unknown,Utility transfer balance,accounting transfer effects,company/year dependent,smart_setup and company database,Data Logic Layer/Dll_UtilityTransferBal.cs,Database definition required,Accounting domain owner
R013,SP_VERSION_CHANGES,SQL Server,company selection object and output key,unknown,unknown,Company selection/version update,system version effect unknown,client/version dependent,smart_setup,Data Logic Layer/Dll_Tallydll.cs,Database definition required,Platform owner
R014,SP_YEAR_OPEN,SQL Server,year-open object; exact parameters in source,unknown,unknown,Utility year open,creates/initializes year data unknown,company/year/license dependent,smart_setup and company database,Data Logic Layer/Dll_UtilityYearOpen.cs,Database definition required,Accounting domain owner
R015,Dynamic application SQL,SQL Server,inline and data-driven SQL,see source,see source,Entry dashboard reports utilities,reads/writes vary,company/year/license/report dependent,all logical databases,SMARTwinFA/Prj_Forms/*.cs; SMARTwinFA/Prj_Reports/Report_Combine.cs; @Library/Lib_GlobalFunctions.cs,Extract and classify before conversion,Migration SQL owner
