"ID","Phase","Epic","Work item","Primary dependency","Acceptance gate","Status","Owner","GitHub issue"
"REPO-001","0","Repository","Create private SMARTwinFA-web repository and preserve prototype history","GitHub access","Remote exists; history and latest source are reachable; no sensitive artifacts","unit-tested","TBD",""
"WEB-001","0","Web baseline","Import latest August 21 web upgrade from legacy commit b3970e9","SRC-WEB-001","Source provenance recorded; legacy/modern UI and Addon prototype build","unit-tested","TBD",""
"WEB-002","0","Web baseline","Remove wrong D1/SQLite starter database path","WEB-001","No D1/SQLite runtime or package references; PostgreSQL workspace documented","unit-tested","TBD",""
"WEB-003","0","Web baseline","Replace stale starter tests and fix lint/type errors","WEB-001","Lint, type-check, production build, and rendered tests pass","unit-tested","TBD",""
"WEB-004","0","Web baseline","Create demo-derived, synthetic workflow prototypes for recorded master, entry, report, utility, and print paths","SRC-VIDEO-001; WEB-001","All 16 demo subjects are traceably represented in an interactive prototype; no database, auth, posting, export, or production-parity claim is made","unit-tested","TBD",""
"DISC-INTAKE-001","0","Discovery","Import and classify the 2026-08-21 legacy-author migration intake","SRC-INTAKE-001","Provenance hashes, SQL Server classification, routine/source inventories, and unresolved database-side artifacts are retained and regression checked","unit-tested","TBD",""
"DISC-PG-RESTORE-001","1","Discovery","Restore and verify the supplied PostgreSQL smart_setup and representative company/year archives locally","SRC-DB-001; SRC-DB-002","Hashes and source versions fixed; isolated restore completes without source owners/ACLs; exact catalog/row counts and Windows-money normalization recorded; integrity check passes; no restricted rows enter Git","unit-tested","TBD",""
"SEC-BASE-001","0","Data safety","Protect dumps, connection.ini, secrets, and private fixtures","REPO-001","Ignore rules, security policy, and tracked-tree safety scan pass","unit-tested","TBD",""
"CI-001","0","Quality platform","Add clean-install CI for lint, type-check, build, tests, and repository safety","REPO-001; SEC-BASE-001","Required checks are retained and pass on a clean hosted runner","unit-tested","TBD",""
"DISC-DB-001","1","Discovery","Confirm authoritative source engines and versions per deployment/object","MySQL artifacts or owner confirmation","Every source object has engine/version/dialect evidence","blocked","TBD",""
