name,source_name_matched,start_line,lines,status,blockers,todo,dynamic_execute,explicit_commit,explicit_rollback,password_references,residual_tsql
st_sp_alter_cols,true,12,99,repair-required,dynamic-sql-review,0,7,0,0,0,0
sp_year_open,true,115,459,repair-required,residual-tsql;unresolved-todo;dynamic-sql-review;transaction-review,35,107,1,1,0,17
sp_std_rpt_pricelst,true,583,210,repair-required,residual-tsql;unresolved-todo;dynamic-sql-review,1,32,0,0,0,17
sp_frt_rpt_mri_stock_rep,true,802,165,repair-required,residual-tsql;dynamic-sql-review,0,17,0,0,0,3
sp_frt_rpt_moonlam_proforma_reg,true,976,33,repair-required,dynamic-sql-review,0,3,0,0,0,0
sp_frt_rpt_monthly_closing_stock,true,1018,743,repair-required,dynamic-sql-review,0,18,0,0,0,0
sp_frt_rpt_modi_3m_india,true,1770,45,repair-required,residual-tsql;dynamic-sql-review,0,3,0,0,0,2
sp_frt_rpt_missing_number,true,1824,77,repair-required,residual-tsql;unresolved-todo;dynamic-sql-review,1,6,0,0,0,1
sp_frt_rpt_karigarin_reg,true,1910,133,repair-required,residual-tsql;dynamic-sql-review,0,2,0,0,0,5
sp_frt_rpt_jjplatingin_reg,true,2052,38,repair-required,dynamic-sql-review,0,2,0,0,0,0
sp_frt_rpt_jjpartywise_reg,true,2099,66,repair-required,dynamic-sql-review,0,6,0,0,0,0
sp_frt_rpt_invalid_gst_rep,true,2174,66,repair-required,dynamic-sql-review,0,6,0,0,0,0
sp_frt_rpt_inv_log_entry_report,true,2249,292,repair-required,residual-tsql;unresolved-todo;dynamic-sql-review,1,4,0,0,0,1
sp_frt_rpt_gst_form_summ,true,2550,128,repair-required,residual-tsql;unresolved-todo;dynamic-sql-review,4,9,0,0,0,4
sp_frt_rpt_godown_stock,true,2687,748,repair-required,residual-tsql;dynamic-sql-review,0,51,0,0,0,3
sp_frt_rpt_fund_flow,true,3444,244,repair-required,residual-tsql;unresolved-todo;dynamic-sql-review,2,24,0,0,0,17
sp_frt_rpt_pend_order_reg,true,3697,388,repair-required,residual-tsql;unresolved-todo;dynamic-sql-review,2,3,0,0,0,5
sp_frt_rpt_party_product_addon_pricelst,true,4094,52,repair-required,residual-tsql;unresolved-todo;dynamic-sql-review,1,4,0,0,0,1
sp_frt_rpt_party_kyc,true,4155,48,repair-required,dynamic-sql-review,0,4,0,0,0,0
sp_frt_rpt_party_bill_pdf,true,4212,60,repair-required,residual-tsql;unresolved-todo;dynamic-sql-review,1,5,0,0,0,1
sp_frt_rpt_party_addon_pricelst,true,4281,67,repair-required,residual-tsql;unresolved-todo;dynamic-sql-review,1,5,0,0,0,1
